waveform	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	[11]	[12]	[13]	[14]
t0	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	1,000000	1,000000	1,000000	1,000000

time	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	Y[11]	Y[12]	Y[13]	Y[14]
14.06.2018  16:27:45,907852	-8,690013E-1	2,201877E-1	7,377737E-1	-1,799191E+0	2,822919E-3	5,408560E-1	6,088350E-2	7,508965E-1	2,775616E-1	1,377890E-1	2,212558E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,907952	-8,564889E-1	2,827497E-1	7,371634E-1	-1,786679E+0	1,297017E-3	4,659342E-1	6,301976E-2	7,457084E-1	2,760357E-1	1,399252E-1	1,602197E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,908052	-8,519112E-1	3,535515E-1	7,447929E-1	-1,797665E+0	2,059968E-3	3,871977E-1	5,264363E-2	7,481499E-1	2,748150E-1	1,387045E-1	3,280690E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,908152	-8,613718E-1	4,472419E-1	7,484550E-1	-1,793088E+0	5,000000E+0	2,910658E-1	6,271458E-2	7,408255E-1	2,742046E-1	1,414511E-1	1,907378E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,908252	-8,528267E-1	5,375754E-1	7,484550E-1	-1,795834E+0	5,000000E+0	1,970703E-1	5,569543E-2	7,362478E-1	2,748150E-1	1,411460E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,908352	-8,513008E-1	6,392004E-1	7,527276E-1	-1,787594E+0	5,000000E+0	9,514000E-2	5,264363E-2	7,280079E-1	2,738994E-1	1,423667E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,908452	-8,540475E-1	7,469291E-1	7,527276E-1	-1,783932E+0	2,365148E-3	-1,350423E-2	5,386435E-2	7,106127E-1	2,812238E-1	1,426719E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,908552	-8,680857E-1	8,143740E-1	8,644236E-1	-1,730526E+0	2,059968E-3	-2,113375E-2	6,118868E-2	4,719616E-1	3,425650E-1	1,420615E-1	3,128099E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,908652	-9,068437E-1	8,442817E-1	9,294270E-1	-1,772946E+0	2,975509E-3	-2,738994E-2	6,515602E-2	4,393072E-1	3,602655E-1	1,454185E-1	2,059968E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,908752	-9,031815E-1	8,549630E-1	9,507896E-1	-1,770504E+0	2,822919E-3	-2,052338E-2	6,393530E-2	4,100099E-1	3,672847E-1	1,435874E-1	1,297017E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
