waveform	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	[11]	[12]	[13]	[14]
t0	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	1,000000	1,000000	1,000000	1,000000

time	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	Y[11]	Y[12]	Y[13]	Y[14]
22.06.2018  14:46:54,865446	-2,822919E-2	-2,365148E-2	-1,758297E+0	1,267262E+0	5,000000E+0	-3,494316E-2	-2,578775E-2	-1,091020E-1	5,400168E-1	5,813687E-2	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,865546	-3,097581E-2	-3,219654E-2	-1,748226E+0	1,285267E+0	5,000000E+0	-2,517739E-2	-2,029450E-2	-1,423667E-1	5,534447E-1	5,477989E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,865646	-2,761883E-2	-3,341726E-2	-1,743343E+0	1,291981E+0	5,000000E+0	-2,304112E-2	-2,944991E-2	-1,738003E-1	5,574121E-1	5,386435E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,865746	-2,059968E-2	-2,822919E-2	-1,724422E+0	1,310597E+0	3,128099E-3	-2,883955E-2	-2,395666E-2	-2,482643E-1	5,479515E-1	5,935759E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,865846	-1,876860E-2	-2,395666E-2	-1,712825E+0	1,320363E+0	2,212558E-3	-2,121004E-2	-3,280690E-2	-2,290379E-1	5,690089E-1	5,355917E-2	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,865946	-3,250172E-2	-2,517739E-2	-1,701534E+0	1,341115E+0	2,365148E-3	-3,006027E-2	-2,212558E-2	-2,589456E-1	5,729763E-1	5,966277E-2	4,959182E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,866046	-3,006027E-2	-2,395666E-2	-1,686885E+0	1,343252E+0	5,000000E+0	-3,097581E-2	-2,273594E-2	-3,410392E-1	5,619898E-1	6,057832E-2	2,517739E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,866146	-3,006027E-2	-2,731365E-2	-1,675288E+0	1,353628E+0	5,000000E+0	-2,761883E-2	-2,609293E-2	-3,114366E-1	5,827420E-1	4,928664E-2	1,297017E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,866246	-2,822919E-2	-2,304112E-2	-1,665217E+0	1,360647E+0	5,000000E+0	-2,151522E-2	-2,151522E-2	-3,459220E-1	5,879301E-1	5,355917E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,866346	-2,304112E-2	-2,792401E-2	-1,650263E+0	1,373465E+0	5,000000E+0	-2,609293E-2	-2,609293E-2	-3,276112E-1	5,934234E-1	5,844205E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
