waveform	Dev0/Ai6	Dev0/Ai14	[2]	[3]	[4]
t0	09.05.2018  17:14:25,326158	09.05.2018  17:14:25,326158	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	5,000000E-5	5,000000E-5	1,000000	1,000000	1,000000

time	Dev0/Ai6	Dev0/Ai14	Y[2]	Y[3]	Y[4]
09.05.2018  17:14:25,329308	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329358	2,517739E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329408	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329458	2,365148E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329508	1,907378E-3	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329558	2,975509E-3	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329608	2,517739E-3	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329658	5,000000E+0	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329708	5,000000E+0	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329758	5,000000E+0	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329808	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329858	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329908	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329958	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330008	3,280690E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330058	1,907378E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330108	2,212558E-3	5,722133E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330158	5,340658E-4	1,449607E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330208	1,907378E-3	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330258	2,212558E-3	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330308	5,000000E+0	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330358	5,000000E+0	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330408	5,000000E+0	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330458	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330508	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330558	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330608	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330658	1,907378E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330708	1,602197E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330758	-5,340658E-4	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330808	2,365148E-3	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330858	2,517739E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330908	1,144427E-3	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330958	2,670329E-3	2,670329E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331008	5,000000E+0	2,670329E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331058	5,000000E+0	1,754788E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331108	5,000000E+0	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331158	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331208	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331258	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331308	3,280690E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331358	6,866560E-4	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331408	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331458	2,365148E-3	2,670329E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331508	2,212558E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331558	2,212558E-3	1,297017E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331608	2,365148E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331658	5,000000E+0	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331708	5,000000E+0	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331758	5,000000E+0	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331808	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331858	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331908	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,331958	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332008	2,517739E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
